pl_name,hostname,disc_year,discoverymethod,pl_orbper,sy_dist,pl_rade,pl_eqt,ra,dec
Kepler-698 b,Kepler-698,2016,Transit,,1995.57,6.064,,288.5099994,41.3017465
Kepler-1377 b,Kepler-1377,2016,Transit,0.740928422,1146.1,1.32,1873.0,289.1954229,46.6516055
HD 204313 b,HD 204313,2010,Radial Velocity,2041.11539,47.7945,,,322.0510568,-21.7274194
Kepler-268 b,Kepler-268,2014,Transit,25.9340674,851.87,2.35,707.0,291.9761559,38.0550327
TOI-564 b,TOI-564,2020,Transit,1.65114558035,199.581,7.7514065,1574.49,130.2951535,-16.0363275
Kepler-902 b,Kepler-902,2016,Transit,40.1099547,1165.34,2.49,524.0,289.7317067,46.953875
Kepler-1555 b,Kepler-1555,2016,Transit,8.10501635,2013.27,1.55,966.0,287.6354587,45.7160327
K2-34 b,K2-34,2016,Transit,2.995633,348.646,13.96,1559.0,127.5787231,22.2359194
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,2018,Microlensing,,,,,268.280365,-30.2457218
XO-4 b,XO-4,2010,Transit,4.1250828,272.655,14.425983,1630.0,110.3880285,58.2681094
Kepler-844 b,Kepler-844,2016,Transit,2.613020856,431.776,1.68,,287.8578541,48.7739646
Kepler-141 c,Kepler-141,2014,Transit,7.01062745,301.183,1.63,,297.9707271,47.7316041
Kepler-363 c,Kepler-363,2014,Transit,7.5423836385,762.596,,,283.1920779,41.3054172
Kepler-131 b,Kepler-131,2014,Transit,16.092,228.678,2.41,,288.5308924,40.942373
Kepler-149 d,Kepler-149,2014,Transit,160.0200597,571.034,3.84,,285.8537014,38.3840916
Kepler-335 b,Kepler-335,2014,Transit,6.56225728,1278.97,1.69,972.0,296.0642944,45.4285986
Kepler-1192 b,Kepler-1192,2016,Transit,25.20299395,1304.19,,,282.1405603,43.8964934
Kepler-879 b,Kepler-879,2016,Transit,33.3856176,802.672,,,295.8065515,50.9097521
Kepler-190 c,Kepler-190,2014,Transit,3.763041531,433.387,,,288.5839761,44.7337701
K2-136 d,K2-136,2017,Transit,25.575065,59.2474,1.45,373.0,67.4128615,22.8825674
Kepler-452 b,Kepler-452,2015,Transit,384.843022,551.727,1.13,220.0,296.003752,44.2775861
Kepler-303 b,Kepler-303,2014,Transit,1.937032068,209.738,0.94,,283.1354742,43.6567036
